group,event_id,feature,row_count,count,missing_count,missing_rate,mean,median,std,min,p01,p05,p25,p75,p95,p99,max,abnormal_note
ALL,ALL,elevation,1208900,1208900,0,0.0,62.959188992599074,32.7185173034668,85.23699799032605,1.0536327362060547,2.961466073989868,7.480260848999023,16.51042938232422,67.35550689697266,245.68966674804688,442.5096435546875,745.36572265625,ok
ALL,ALL,mean_elevation,1208900,1208900,0,0.0,62.12335502757657,35.242339658343056,79.23226201647992,2.063030007456945,4.692265378542194,8.639565834329131,18.44114263392677,66.88630386226433,226.28010634745453,420.1903373781315,605.1726830852917,ok
ALL,ALL,relative_elev,1208900,1208900,0,0.0,0.8358339650225083,-1.3647665662214017,17.401546994611362,-75.00012030483276,-34.93085000534694,-19.82834051463226,-5.65169209094087,2.813646876122352,30.985379305752815,69.28745086922123,257.260004185448,ok
ALL,ALL,relative_low,1208900,1208900,0,0.0,4.42653424235008,1.3647665662214017,7.36610334024883,0.0,0.0,0.0,0.0,5.65169209094087,19.82834051463226,34.93085000534694,75.00012030483276,ok
ALL,ALL,relative_high,1208900,1208900,0,0.0,5.262368207372588,0.0,14.21148179174963,0.0,0.0,0.0,0.0,2.813646876122352,30.985379305752815,69.28745086922123,257.260004185448,ok
ALL,ALL,slope,1208900,1208900,0,0.0,4.925431961070151,2.5681005710029625,5.984825915082642,3.92996643071874e-05,0.021942096839460003,0.1395334981484557,0.8334944390747202,6.962246933811009,17.285129273440766,24.62844767231689,70.01101725716684,ok
ALL,ALL,aspect,1208900,1208900,0,0.0,183.17454296333057,182.48427853608166,102.40841733663336,0.0020003239677635065,3.2848999726591046,17.462718334312115,99.55977021884036,269.70500433857706,343.683480557506,356.71581667031006,359.9990195982158,ok
ALL,ALL,curvature,1208900,1208900,0,0.0,-5.507666869387242e-05,5.174129097550003e-05,0.0011892817683767558,-0.0320848971237371,-0.003628560525399667,-0.001640856707537616,-0.00015801835943151402,0.0003061488822654442,0.0011271645110330463,0.0020997325284981437,0.006502770317925347,ok
ALL,ALL,flow_accumulation,1208900,0,1208900,1.0,,,,,,,,,,,,all_missing
ALL,ALL,distance_to_stream,1208900,1208900,0,0.0,509.19655149121024,393.2348825051281,460.83112277383674,0.0,0.0,2.806146554332246,160.48568755079953,730.5329719603437,1405.110523230821,2118.853150628785,3188.6219423539483,ok
ALL,ALL,distance_to_flood_trace_m,1208900,1208900,0,0.0,5370.709059843646,4002.5102921068765,4785.666355058632,0.0,13.368899011830798,282.6819999329286,1644.8147929705672,7744.807638610857,15700.605693193453,19996.443691896307,25841.477186607517,ok
ALL,ALL,flood_overlap_area,1208900,1208900,0,0.0,11.025554379365264,0.0,231.52665612298637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8100.0,ok
ALL,ALL,flood_overlap_ratio,1208900,1208900,0,0.0,0.0013611795530080568,0.0,0.02858353779296128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ok
ALL,ALL,x_coord,1208900,1208900,0,0.0,197971.0,197971.0,10002.5638094565,180691.0,180961.0,182401.0,189331.0,206611.0,213541.0,214981.0,215251.0,ok
ALL,ALL,y_coord,1208900,1208900,0,0.0,551483.0,551483.0,8157.921307014136,537398.0,537668.0,538748.0,544418.0,558548.0,564218.0,565298.0,565568.0,ok
ALL,ALL,centroid_lat,1208900,1208900,0,0.0,37.56282279614746,37.56277862978219,0.07350245618692995,37.43577168882506,37.43828589289244,37.448122254605806,37.499183230354035,37.626493850025646,37.67754067820537,37.687348010749716,37.68978375871528,ok
ALL,ALL,centroid_lon,1208900,1208900,0,0.0,126.9770348659268,126.97703484529559,0.11321368358649385,126.78108071017549,126.78476372552241,126.80063722652318,126.87914056685739,127.07489007541014,127.15339362307063,127.1693607118622,127.17291119660149,ok
ALL,ALL,grid_size_m,1208900,1208900,0,0.0,90.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,ok
ALL,ALL,grid_area_m2,1208900,1208900,0,0.0,8100.0,8100.0,0.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,ok
event,EVT_2014_FLOOD,elevation,120890,120890,0,0.0,62.959188992599074,32.7185173034668,85.23731527790147,1.0536327362060547,2.9617845749855043,7.4803709268569945,16.51043701171875,67.35514450073242,245.6786460876462,442.5039398193359,745.36572265625,ok
event,EVT_2014_FLOOD,mean_elevation,120890,120890,0,0.0,62.12335502757657,35.242339658343056,79.23255695192935,2.063030007456945,4.692494464058522,8.639839690086253,18.44149414961003,66.88621679416372,226.27128913816318,420.1222990657082,605.1726830852917,ok
event,EVT_2014_FLOOD,relative_elev,120890,120890,0,0.0,0.8358339650225084,-1.3647665662214017,17.401611770410426,-75.00012030483276,-34.92844926250869,-19.826981410507315,-5.6516666097089265,2.8136198954148055,30.985367289456516,69.28430674403172,257.260004185448,ok
event,EVT_2014_FLOOD,relative_low,120890,120890,0,0.0,4.42653424235008,1.3647665662214017,7.366130759950654,0.0,0.0,0.0,0.0,5.6516666097089265,19.826981410507283,34.92844926250869,75.00012030483276,ok
event,EVT_2014_FLOOD,relative_high,120890,120890,0,0.0,5.262368207372588,0.0,14.211534692798555,0.0,0.0,0.0,0.0,2.8136198954148055,30.985367289456516,69.28430674403172,257.260004185448,ok
event,EVT_2014_FLOOD,slope,120890,120890,0,0.0,4.925431961070152,2.5681005710029625,5.98484819309511,3.92996643071874e-05,0.021945367964507714,0.13953598699492553,0.8334983009605559,6.962184431856162,17.283522251578045,24.62542186227601,70.01101725716684,ok
event,EVT_2014_FLOOD,aspect,120890,120890,0,0.0,183.17454296333057,182.48427853608166,102.40879854337699,0.0020003239677635065,3.292067360772381,17.464327786143624,99.56040438358471,269.7017215826375,343.6818610490121,356.7154905828276,359.9990195982158,ok
event,EVT_2014_FLOOD,curvature,120890,120890,0,0.0,-5.507666869387243e-05,5.174129097550003e-05,0.0011892861953783829,-0.0320848971237371,-0.0036279112686345605,-0.0016408197791488084,-0.00015801700544945983,0.00030614767545535245,0.0011271123238551749,0.0020985792489699386,0.006502770317925347,ok
event,EVT_2014_FLOOD,flow_accumulation,120890,0,120890,1.0,,,,,,,,,,,,all_missing
event,EVT_2014_FLOOD,distance_to_stream,120890,120890,0,0.0,509.19655149121024,393.2348825051281,460.83283817903725,0.0,0.0,2.806288162504811,160.4864181005857,730.5310195534673,1405.088076034591,2118.6345471576433,3188.6219423539483,ok
event,EVT_2014_FLOOD,distance_to_flood_trace_m,120890,120890,0,0.0,9915.732684021286,9345.231511758557,5687.7257821251715,0.0,642.3538223441479,1690.7414338212134,5284.787360368693,14124.383988156951,19730.24844493586,22854.575719015007,25841.477186607517,ok
event,EVT_2014_FLOOD,flood_overlap_area,120890,120890,0,0.0,0.03374886839684511,0.0,3.132935171945886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599.4841740329379,ok
event,EVT_2014_FLOOD,flood_overlap_ratio,120890,120890,0,0.0,4.166526962573469e-06,0.0,0.00038678211999331933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07401039185591825,ok
event,EVT_2014_FLOOD,x_coord,120890,120890,0,0.0,197971.0,197971.0,10002.601043161278,180691.0,180961.0,182401.0,189331.0,206611.0,213541.0,214981.0,215251.0,ok
event,EVT_2014_FLOOD,y_coord,120890,120890,0,0.0,551483.0,551483.0,8157.951674191923,537398.0,537668.0,538748.0,544418.0,558548.0,564218.0,565298.0,565568.0,ok
event,EVT_2014_FLOOD,centroid_lat,120890,120890,0,0.0,37.562822796147465,37.56277862978219,0.0735027297936578,37.43577168882506,37.43828600745215,37.448122274737415,37.49918342210148,37.62649383113502,37.67754018972877,37.6873478174619,37.68978375871528,ok
event,EVT_2014_FLOOD,centroid_lon,120890,120890,0,0.0,126.9770348659268,126.97703484529559,0.11321410501493476,126.78108071017549,126.7847657950743,126.80063820109926,126.87914089509016,127.07488987202161,127.15339287321022,127.16935908340976,127.17291119660149,ok
event,EVT_2014_FLOOD,grid_size_m,120890,120890,0,0.0,90.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,ok
event,EVT_2014_FLOOD,grid_area_m2,120890,120890,0,0.0,8100.0,8100.0,0.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,ok
event,EVT_2016_FLOOD,elevation,120890,120890,0,0.0,62.959188992599074,32.7185173034668,85.23731527790147,1.0536327362060547,2.9617845749855043,7.4803709268569945,16.51043701171875,67.35514450073242,245.6786460876462,442.5039398193359,745.36572265625,ok
event,EVT_2016_FLOOD,mean_elevation,120890,120890,0,0.0,62.12335502757657,35.242339658343056,79.23255695192935,2.063030007456945,4.692494464058522,8.639839690086253,18.44149414961003,66.88621679416372,226.27128913816318,420.1222990657082,605.1726830852917,ok
event,EVT_2016_FLOOD,relative_elev,120890,120890,0,0.0,0.8358339650225084,-1.3647665662214017,17.401611770410426,-75.00012030483276,-34.92844926250869,-19.826981410507315,-5.6516666097089265,2.8136198954148055,30.985367289456516,69.28430674403172,257.260004185448,ok
event,EVT_2016_FLOOD,relative_low,120890,120890,0,0.0,4.42653424235008,1.3647665662214017,7.366130759950654,0.0,0.0,0.0,0.0,5.6516666097089265,19.826981410507283,34.92844926250869,75.00012030483276,ok
event,EVT_2016_FLOOD,relative_high,120890,120890,0,0.0,5.262368207372588,0.0,14.211534692798555,0.0,0.0,0.0,0.0,2.8136198954148055,30.985367289456516,69.28430674403172,257.260004185448,ok
event,EVT_2016_FLOOD,slope,120890,120890,0,0.0,4.925431961070152,2.5681005710029625,5.98484819309511,3.92996643071874e-05,0.021945367964507714,0.13953598699492553,0.8334983009605559,6.962184431856162,17.283522251578045,24.62542186227601,70.01101725716684,ok
event,EVT_2016_FLOOD,aspect,120890,120890,0,0.0,183.17454296333057,182.48427853608166,102.40879854337699,0.0020003239677635065,3.292067360772381,17.464327786143624,99.56040438358471,269.7017215826375,343.6818610490121,356.7154905828276,359.9990195982158,ok
event,EVT_2016_FLOOD,curvature,120890,120890,0,0.0,-5.507666869387243e-05,5.174129097550003e-05,0.0011892861953783829,-0.0320848971237371,-0.0036279112686345605,-0.0016408197791488084,-0.00015801700544945983,0.00030614767545535245,0.0011271123238551749,0.0020985792489699386,0.006502770317925347,ok
event,EVT_2016_FLOOD,flow_accumulation,120890,0,120890,1.0,,,,,,,,,,,,all_missing
event,EVT_2016_FLOOD,distance_to_stream,120890,120890,0,0.0,509.19655149121024,393.2348825051281,460.83283817903725,0.0,0.0,2.806288162504811,160.4864181005857,730.5310195534673,1405.088076034591,2118.6345471576433,3188.6219423539483,ok
event,EVT_2016_FLOOD,distance_to_flood_trace_m,120890,120890,0,0.0,7999.812821609464,6187.793689421429,5870.176341175835,0.0,294.31585933268764,922.2071899128666,3240.856631733659,12406.456132045794,18977.948649435413,21982.893171360665,24471.227223461687,ok
event,EVT_2016_FLOOD,flood_overlap_area,120890,120890,0,0.0,0.058708455492226246,0.0,4.145193149517367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.1734432036094,ok
event,EVT_2016_FLOOD,flood_overlap_ratio,120890,120890,0,0.0,7.24795746817608e-06,0.0,0.0005117522406811564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08656462261772956,ok
event,EVT_2016_FLOOD,x_coord,120890,120890,0,0.0,197971.0,197971.0,10002.601043161278,180691.0,180961.0,182401.0,189331.0,206611.0,213541.0,214981.0,215251.0,ok
event,EVT_2016_FLOOD,y_coord,120890,120890,0,0.0,551483.0,551483.0,8157.951674191923,537398.0,537668.0,538748.0,544418.0,558548.0,564218.0,565298.0,565568.0,ok
event,EVT_2016_FLOOD,centroid_lat,120890,120890,0,0.0,37.562822796147465,37.56277862978219,0.0735027297936578,37.43577168882506,37.43828600745215,37.448122274737415,37.49918342210148,37.62649383113502,37.67754018972877,37.6873478174619,37.68978375871528,ok
event,EVT_2016_FLOOD,centroid_lon,120890,120890,0,0.0,126.9770348659268,126.97703484529559,0.11321410501493476,126.78108071017549,126.7847657950743,126.80063820109926,126.87914089509016,127.07488987202161,127.15339287321022,127.16935908340976,127.17291119660149,ok
event,EVT_2016_FLOOD,grid_size_m,120890,120890,0,0.0,90.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,ok
event,EVT_2016_FLOOD,grid_area_m2,120890,120890,0,0.0,8100.0,8100.0,0.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,ok
event,EVT_2017_FLOOD,elevation,120890,120890,0,0.0,62.959188992599074,32.7185173034668,85.23731527790147,1.0536327362060547,2.9617845749855043,7.4803709268569945,16.51043701171875,67.35514450073242,245.6786460876462,442.5039398193359,745.36572265625,ok
event,EVT_2017_FLOOD,mean_elevation,120890,120890,0,0.0,62.12335502757657,35.242339658343056,79.23255695192935,2.063030007456945,4.692494464058522,8.639839690086253,18.44149414961003,66.88621679416372,226.27128913816318,420.1222990657082,605.1726830852917,ok
event,EVT_2017_FLOOD,relative_elev,120890,120890,0,0.0,0.8358339650225084,-1.3647665662214017,17.401611770410426,-75.00012030483276,-34.92844926250869,-19.826981410507315,-5.6516666097089265,2.8136198954148055,30.985367289456516,69.28430674403172,257.260004185448,ok
event,EVT_2017_FLOOD,relative_low,120890,120890,0,0.0,4.42653424235008,1.3647665662214017,7.366130759950654,0.0,0.0,0.0,0.0,5.6516666097089265,19.826981410507283,34.92844926250869,75.00012030483276,ok
event,EVT_2017_FLOOD,relative_high,120890,120890,0,0.0,5.262368207372588,0.0,14.211534692798555,0.0,0.0,0.0,0.0,2.8136198954148055,30.985367289456516,69.28430674403172,257.260004185448,ok
event,EVT_2017_FLOOD,slope,120890,120890,0,0.0,4.925431961070152,2.5681005710029625,5.98484819309511,3.92996643071874e-05,0.021945367964507714,0.13953598699492553,0.8334983009605559,6.962184431856162,17.283522251578045,24.62542186227601,70.01101725716684,ok
event,EVT_2017_FLOOD,aspect,120890,120890,0,0.0,183.17454296333057,182.48427853608166,102.40879854337699,0.0020003239677635065,3.292067360772381,17.464327786143624,99.56040438358471,269.7017215826375,343.6818610490121,356.7154905828276,359.9990195982158,ok
event,EVT_2017_FLOOD,curvature,120890,120890,0,0.0,-5.507666869387243e-05,5.174129097550003e-05,0.0011892861953783829,-0.0320848971237371,-0.0036279112686345605,-0.0016408197791488084,-0.00015801700544945983,0.00030614767545535245,0.0011271123238551749,0.0020985792489699386,0.006502770317925347,ok
event,EVT_2017_FLOOD,flow_accumulation,120890,0,120890,1.0,,,,,,,,,,,,all_missing
event,EVT_2017_FLOOD,distance_to_stream,120890,120890,0,0.0,509.19655149121024,393.2348825051281,460.83283817903725,0.0,0.0,2.806288162504811,160.4864181005857,730.5310195534673,1405.088076034591,2118.6345471576433,3188.6219423539483,ok
event,EVT_2017_FLOOD,distance_to_flood_trace_m,120890,120890,0,0.0,9614.117239212077,9410.13674574247,4962.151757297541,0.0,531.4220611613396,1842.7519910525389,5835.204388310028,12848.594370416842,18710.106246405663,20638.157076416443,22348.387525226244,ok
event,EVT_2017_FLOOD,flood_overlap_area,120890,120890,0,0.0,0.02325475397575754,0.0,2.759674502892488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.4739226358577,ok
event,EVT_2017_FLOOD,flood_overlap_ratio,120890,120890,0,0.0,2.870957280957721e-06,0.0,0.00034070055591265287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0830214719303528,ok
event,EVT_2017_FLOOD,x_coord,120890,120890,0,0.0,197971.0,197971.0,10002.601043161278,180691.0,180961.0,182401.0,189331.0,206611.0,213541.0,214981.0,215251.0,ok
event,EVT_2017_FLOOD,y_coord,120890,120890,0,0.0,551483.0,551483.0,8157.951674191923,537398.0,537668.0,538748.0,544418.0,558548.0,564218.0,565298.0,565568.0,ok
event,EVT_2017_FLOOD,centroid_lat,120890,120890,0,0.0,37.562822796147465,37.56277862978219,0.0735027297936578,37.43577168882506,37.43828600745215,37.448122274737415,37.49918342210148,37.62649383113502,37.67754018972877,37.6873478174619,37.68978375871528,ok
event,EVT_2017_FLOOD,centroid_lon,120890,120890,0,0.0,126.9770348659268,126.97703484529559,0.11321410501493476,126.78108071017549,126.7847657950743,126.80063820109926,126.87914089509016,127.07488987202161,127.15339287321022,127.16935908340976,127.17291119660149,ok
event,EVT_2017_FLOOD,grid_size_m,120890,120890,0,0.0,90.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,ok
event,EVT_2017_FLOOD,grid_area_m2,120890,120890,0,0.0,8100.0,8100.0,0.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,ok
event,EVT_2018_FLOOD,elevation,120890,120890,0,0.0,62.959188992599074,32.7185173034668,85.23731527790147,1.0536327362060547,2.9617845749855043,7.4803709268569945,16.51043701171875,67.35514450073242,245.6786460876462,442.5039398193359,745.36572265625,ok
event,EVT_2018_FLOOD,mean_elevation,120890,120890,0,0.0,62.12335502757657,35.242339658343056,79.23255695192935,2.063030007456945,4.692494464058522,8.639839690086253,18.44149414961003,66.88621679416372,226.27128913816318,420.1222990657082,605.1726830852917,ok
event,EVT_2018_FLOOD,relative_elev,120890,120890,0,0.0,0.8358339650225084,-1.3647665662214017,17.401611770410426,-75.00012030483276,-34.92844926250869,-19.826981410507315,-5.6516666097089265,2.8136198954148055,30.985367289456516,69.28430674403172,257.260004185448,ok
event,EVT_2018_FLOOD,relative_low,120890,120890,0,0.0,4.42653424235008,1.3647665662214017,7.366130759950654,0.0,0.0,0.0,0.0,5.6516666097089265,19.826981410507283,34.92844926250869,75.00012030483276,ok
event,EVT_2018_FLOOD,relative_high,120890,120890,0,0.0,5.262368207372588,0.0,14.211534692798555,0.0,0.0,0.0,0.0,2.8136198954148055,30.985367289456516,69.28430674403172,257.260004185448,ok
event,EVT_2018_FLOOD,slope,120890,120890,0,0.0,4.925431961070152,2.5681005710029625,5.98484819309511,3.92996643071874e-05,0.021945367964507714,0.13953598699492553,0.8334983009605559,6.962184431856162,17.283522251578045,24.62542186227601,70.01101725716684,ok
event,EVT_2018_FLOOD,aspect,120890,120890,0,0.0,183.17454296333057,182.48427853608166,102.40879854337699,0.0020003239677635065,3.292067360772381,17.464327786143624,99.56040438358471,269.7017215826375,343.6818610490121,356.7154905828276,359.9990195982158,ok
event,EVT_2018_FLOOD,curvature,120890,120890,0,0.0,-5.507666869387243e-05,5.174129097550003e-05,0.0011892861953783829,-0.0320848971237371,-0.0036279112686345605,-0.0016408197791488084,-0.00015801700544945983,0.00030614767545535245,0.0011271123238551749,0.0020985792489699386,0.006502770317925347,ok
event,EVT_2018_FLOOD,flow_accumulation,120890,0,120890,1.0,,,,,,,,,,,,all_missing
event,EVT_2018_FLOOD,distance_to_stream,120890,120890,0,0.0,509.19655149121024,393.2348825051281,460.83283817903725,0.0,0.0,2.806288162504811,160.4864181005857,730.5310195534673,1405.088076034591,2118.6345471576433,3188.6219423539483,ok
event,EVT_2018_FLOOD,distance_to_flood_trace_m,120890,120890,0,0.0,3491.718710001638,2793.2354222138424,2781.909730088953,0.0,24.02439220907367,237.24238727206364,1323.3495767968227,4964.236917682035,9348.100277639716,11315.28097122334,13768.339211714005,ok
event,EVT_2018_FLOOD,flood_overlap_area,120890,120890,0,0.0,3.240100105491222,0.0,105.57236756940947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8100.0,ok
event,EVT_2018_FLOOD,flood_overlap_ratio,120890,120890,0,0.0,0.00040001235870262006,0.0,0.01303362562585302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ok
event,EVT_2018_FLOOD,x_coord,120890,120890,0,0.0,197971.0,197971.0,10002.601043161278,180691.0,180961.0,182401.0,189331.0,206611.0,213541.0,214981.0,215251.0,ok
event,EVT_2018_FLOOD,y_coord,120890,120890,0,0.0,551483.0,551483.0,8157.951674191923,537398.0,537668.0,538748.0,544418.0,558548.0,564218.0,565298.0,565568.0,ok
event,EVT_2018_FLOOD,centroid_lat,120890,120890,0,0.0,37.562822796147465,37.56277862978219,0.0735027297936578,37.43577168882506,37.43828600745215,37.448122274737415,37.49918342210148,37.62649383113502,37.67754018972877,37.6873478174619,37.68978375871528,ok
event,EVT_2018_FLOOD,centroid_lon,120890,120890,0,0.0,126.9770348659268,126.97703484529559,0.11321410501493476,126.78108071017549,126.7847657950743,126.80063820109926,126.87914089509016,127.07488987202161,127.15339287321022,127.16935908340976,127.17291119660149,ok
event,EVT_2018_FLOOD,grid_size_m,120890,120890,0,0.0,90.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,ok
event,EVT_2018_FLOOD,grid_area_m2,120890,120890,0,0.0,8100.0,8100.0,0.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,8100.0,ok
event,EVT_2019_FLOOD,elevation,120890,120890,0,0.0,62.959188992599074,32.7185173034668,85.23731527790147,1.0536327362060547,2.9617845749855043,7.4803709268569945,16.51043701171875,67.35514450073242,245.6786460876462,442.5039398193359,745.36572265625,ok
event,EVT_2019_FLOOD,mean_elevation,120890,120890,0,0.0,62.12335502757657,35.242339658343056,79.23255695192935,2.063030007456945,4.692494464058522,8.639839690086253,18.44149414961003,66.88621679416372,226.27128913816318,420.1222990657082,605.1726830852917,ok
event,EVT_2019_FLOOD,relative_elev,120890,120890,0,0.0,0.8358339650225084,-1.3647665662214017,17.401611770410426,-75.00012030483276,-34.92844926250869,-19.826981410507315,-5.6516666097089265,2.8136198954148055,30.985367289456516,69.28430674403172,257.260004185448,ok
event,EVT_2019_FLOOD,relative_low,120890,120890,0,0.0,4.42653424235008,1.3647665662214017,7.366130759950654,0.0,0.0,0.0,0.0,5.6516666097089265,19.826981410507283,34.92844926250869,75.00012030483276,ok
event,EVT_2019_FLOOD,relative_high,120890,120890,0,0.0,5.262368207372588,0.0,14.211534692798555,0.0,0.0,0.0,0.0,2.8136198954148055,30.985367289456516,69.28430674403172,257.260004185448,ok
event,EVT_2019_FLOOD,slope,120890,120890,0,0.0,4.925431961070152,2.5681005710029625,5.98484819309511,3.92996643071874e-05,0.021945367964507714,0.13953598699492553,0.8334983009605559,6.962184431856162,17.283522251578045,24.62542186227601,70.01101725716684,ok
event,EVT_2019_FLOOD,aspect,120890,120890,0,0.0,183.17454296333057,182.48427853608166,102.40879854337699,0.0020003239677635065,3.292067360772381,17.464327786143624,99.56040438358471,269.7017215826375,343.6818610490121,356.7154905828276,359.9990195982158,ok
event,EVT_2019_FLOOD,curvature,120890,120890,0,0.0,-5.507666869387243e-05,5.174129097550003e-05,0.0011892861953783829,-0.0320848971237371,-0.0036279112686345605,-0.0016408197791488084,-0.00015801700544945983,0.00030614767545535245,0.0011271123238551749,0.0020985792489699386,0.006502770317925347,ok
